72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n rhoa err
40 70 50 60 40963.27  0.01
40 67 49 58 45528.82  0.01
40 64 48 56 51953.49  0.01
40 61 47 54 57362.56  0.01
40 58 46 52 58541.95  0.01
40 55 45 50 58922.88  0.01
40 52 44 48 61183.03  0.01
40 49 43 46 56304.02  0.01
41 71 51 61 41985.75  0.01
41 68 50 59 46513.36  0.01
41 65 49 57 52314.70  0.01
41 62 48 55 57951.41  0.01
41 59 47 53 61158.29  0.01
41 56 46 51 62505.37  0.01
41 53 45 49 60486.53  0.01
41 50 44 47 56303.80  0.01
42 72 52 62 42753.03  0.01
42 69 51 60 47162.32  0.01
42 66 50 58 53415.02  0.01
42 63 49 56 59619.86  0.01
42 60 48 54 64840.85  0.01
42 57 47 52 64329.40  0.01
42 54 46 50 59620.22  0.01
42 51 45 48 56347.73  0.01
43 70 52 61 49099.94  0.01
43 67 51 59 53208.45  0.01
43 64 50 57 63184.05  0.01
43 61 49 55 65914.79  0.01
43 58 48 53 63732.91  0.01
43 55 47 51 65303.55  0.01
43 52 46 49 57017.65  0.01
43 49 45 47 47033.20  0.01
44 71 53 62 50024.73  0.01
44 68 52 60 53766.68  0.01
44 65 51 58 61402.51  0.01
44 62 50 56 69287.05  0.01
44 59 49 54 71584.57  0.01
44 56 48 52 64650.61  0.01
44 53 47 50 58127.29  0.01
44 50 46 48 51888.12  0.01
