RB2_W3m_ab_raw.bin
         3.00
11
1
Type of measurement (0=app. resistivity,1=resistance)
1
636
 2
0
4  57.00  0.00 102.00  0.00 72.00  0.00 87.00  0.00 424.38240 
4  57.00  0.00 93.00  0.00 69.00  0.00 81.00  0.00 578.02207 
4  57.00  0.00 84.00  0.00 66.00  0.00 75.00  0.00 943.58808 
4  57.00  0.00 75.00  0.00 63.00  0.00 69.00  0.00 2298.13455 
4  57.00  0.00 66.00  0.00 60.00  0.00 63.00  0.00 4744.28373 
4  60.00  0.00 141.00  0.00 87.00  0.00 114.00  0.00 227.09930 
4  60.00  0.00 132.00  0.00 84.00  0.00 108.00  0.00 249.73319 
4  60.00  0.00 123.00  0.00 81.00  0.00 102.00  0.00 291.52938 
4  60.00  0.00 114.00  0.00 78.00  0.00 96.00  0.00 377.55758 
4  60.00  0.00 105.00  0.00 75.00  0.00 90.00  0.00 437.60189 
4  60.00  0.00 96.00  0.00 72.00  0.00 84.00  0.00 598.19852 
4  60.00  0.00 87.00  0.00 69.00  0.00 78.00  0.00 874.15764 
4  60.00  0.00 78.00  0.00 66.00  0.00 72.00  0.00 1674.65073 
4  60.00  0.00 69.00  0.00 63.00  0.00 66.00  0.00 5391.70088 
4  63.00  0.00 135.00  0.00 87.00  0.00 111.00  0.00 274.31132 
4  63.00  0.00 126.00  0.00 84.00  0.00 105.00  0.00 308.14213 
4  63.00  0.00 117.00  0.00 81.00  0.00 99.00  0.00 390.29067 
4  63.00  0.00 108.00  0.00 78.00  0.00 93.00  0.00 507.80682 
4  63.00  0.00 99.00  0.00 75.00  0.00 87.00  0.00 589.01742 
4  63.00  0.00 90.00  0.00 72.00  0.00 81.00  0.00 914.32448 
4  63.00  0.00 81.00  0.00 69.00  0.00 75.00  0.00 1588.93769 
4  63.00  0.00 72.00  0.00 66.00  0.00 69.00  0.00 3968.94561 
4  66.00  0.00 138.00  0.00 90.00  0.00 114.00  0.00 300.89788 
4  66.00  0.00 129.00  0.00 87.00  0.00 108.00  0.00 336.71428 
4  66.00  0.00 120.00  0.00 84.00  0.00 102.00  0.00 394.95367 
